,code,station_name,line,color,opening,type,blk_no,road_name,building,address,postal,x,y,latitude,longitude,planning_area_ura,region_ura
100,EW11,Lavender,East-West Line,Green,4/11/1989,MRT,50,KALLANG ROAD,LAVENDER MRT STATION (EW11),50 KALLANG ROAD LAVENDER MRT STATION (EW11) SINGAPORE 208699,208699,31277.40623,32188.73379,1.307377817,103.8627676,KALLANG,CENTRAL REGION
101,SW6,Layar,Sengkang LRT,Grey,29/01/2005,LRT,11,SENGKANG WEST AVENUE,LAYAR LRT STATION (SW6),11 SENGKANG WEST AVENUE LAYAR LRT STATION (SW6) SINGAPORE 797700,797700,33198.32332,41554.68266,1.392079837,103.8800296,SENGKANG,NORTH-EAST REGION
102,TE5,Lentor,Thomson-East Coast Line,Brown,28/08/2021,MRT,1,LENTOR DRIVE,LENTOR MRT STATION (TE5),1 LENTOR DRIVE LENTOR MRT STATION (TE5) SINGAPORE 789361,789361,28269.89707,40827.79394,1.38550658,103.8357438,ANG MO KIO,NORTH-EAST REGION
103,NE7,Little India,North East Line,Purple,20/06/2003,MRT,60,BUKIT TIMAH ROAD,LITTLE INDIA MRT STATION (NE7),60 BUKIT TIMAH ROAD LITTLE INDIA MRT STATION (NE7) SINGAPORE 229900,229900,29817.20857,32124.85018,1.306800197,103.8496471,ROCHOR,CENTRAL REGION
104,DT12,Little India,Downtown Line,Blue,27/12/2015,MRT,62,BUKIT TIMAH ROAD,LITTLE INDIA MRT STATION (DT12),62 BUKIT TIMAH ROAD LITTLE INDIA MRT STATION (DT12) SINGAPORE 229902,229902,29707.46188,32148.96262,1.307018268,103.8486609,KALLANG,CENTRAL REGION
105,CC14,Lorong Chuan,Circle Line,Orange,28/05/2009,MRT,150,SERANGOON AVENUE 3,LORONG CHUAN MRT STATION (CC14),150 SERANGOON AVENUE 3 LORONG CHUAN MRT STATION (CC14) SINGAPORE 554533,554533,31431.40547,37079.94437,1.351612171,103.8641519,SERANGOON,NORTH-EAST REGION
106,CC10,MacPherson,Circle Line,Orange,17/04/2010,MRT,171,PAYA LEBAR ROAD,MACPHERSON MRT STATION (CC10),171 PAYA LEBAR ROAD MACPHERSON MRT STATION (CC10) SINGAPORE 409048,409048,34351.61777,34256.51383,1.326077602,103.8903913,GEYLANG,CENTRAL REGION
107,DT26,MacPherson,Downtown Line,Blue,21/10/2017,MRT,10,CIRCUIT LINK,MACPHERSON MRT STATION (DT26),10 CIRCUIT LINK MACPHERSON MRT STATION (DT26) SINGAPORE 378956,378956,34230.01048,34264.54353,1.326150245,103.8892986,GEYLANG,CENTRAL REGION
108,NS27,Marina Bay,North-South Line ,Red,4/11/1989,MRT,21,PARK STREET,MARINA BAY MRT STATION (NS27),21 PARK STREET MARINA BAY MRT STATION (NS27) SINGAPORE 018925,018925,30367.95472,28764.49593,1.276410299,103.8545955,DOWNTOWN CORE,CENTRAL REGION
109,CE2,Marina Bay,Circle Line Extension,Orange,14/01/2012,MRT,23,PARK STREET,MARINA BAY MRT STATION (CE2),23 PARK STREET MARINA BAY MRT STATION (CE2) SINGAPORE 018926,018926,30462.73498,28746.93363,1.276251464,103.8554472,DOWNTOWN CORE,CENTRAL REGION
110,TE20,Marina Bay,Thomson-East Coast Line,Brown,13/11/2022,MRT,25,PARK STREET,MARINA BAY MRT STATION (TE20),25 PARK STREET MARINA BAY MRT STATION (TE20) SINGAPORE 018929,018929,30447.37939,28579.99514,1.274741732,103.8553092,DOWNTOWN CORE,CENTRAL REGION
111,NS28,Marina South Pier,North-South Line ,Red,23/11/2014,MRT,33,MARINA COASTAL DRIVE,MARINA SOUTH PIER MRT STATION (NS28),33 MARINA COASTAL DRIVE MARINA SOUTH PIER MRT STATION (NS28) SINGAPORE 018948,018948,31241.82601,28169.25109,1.271027036,103.8624475,STRAITS VIEW,CENTRAL REGION
112,TE26,Marine Parade,Thomson-East Coast Line,Brown,23/06/2024,MRT,101,MARINE PARADE ROAD,MARINE PARADE MRT STATION (TE26),101 MARINE PARADE ROAD MARINE PARADE MRT STATION (TE26) SINGAPORE 449971,449971,35975.61075,31661.80799,1.302611635,103.9049831,MARINE PARADE,CENTRAL REGION
113,TE27,Marine Terrace,Thomson-East Coast Line,Brown,23/06/2024,MRT,304,MARINE PARADE ROAD,MARINE TERRACE MRT STATION (TE27),304 MARINE PARADE ROAD MARINE TERRACE MRT STATION (TE27) SINGAPORE 449970,449970,37102.26344,32110.05443,1.306665103,103.9151067,MARINE PARADE,CENTRAL REGION
