,code,station_name,line,color,opening,type,blk_no,road_name,building,address,postal,x,y,latitude,longitude,planning_area_ura,region_ura
157,DT13,Rochor,Downtown Line,Blue,27/12/2015,MRT,11,ROCHOR CANAL ROAD,ROCHOR MRT STATION (DT13),11 ROCHOR CANAL ROAD ROCHOR MRT STATION (DT13) SINGAPORE 188505,188505,30164.70185,31798.87668,1.303852185,103.8527694,ROCHOR,CENTRAL REGION
158,SE2,Rumbia,Sengkang LRT,Grey,18/01/2003,LRT,70,RIVERVALE DRIVE,RUMBIA LRT STATION (SE2),70 RIVERVALE DRIVE RUMBIA LRT STATION (SE2) SINGAPORE 545054,545054,36085.55239,41487.15663,1.391468495,103.9059736,SENGKANG,NORTH-EAST REGION
159,PW1,Sam Kee,Punggol LRT,Grey,29/02/2016,LRT,10,SENTUL CRESCENT,SAM KEE LRT STATION (PW1),10 SENTUL CRESCENT SAM KEE LRT STATION (PW1) SINGAPORE 828851,828851,35958.39671,43493.44702,1.409612685,103.9048316,PUNGGOL,NORTH-EAST REGION
160,PW4,Samudera,Punggol LRT,Grey,31/03/2017,LRT,61,PUNGGOL WAY,SAMUDERA LRT STATION (PW4),61 PUNGGOL WAY SAMUDERA LRT STATION (PW4) SINGAPORE 828645,828645,35660.65979,44188.84844,1.415901722,103.9021563,PUNGGOL,NORTH-EAST REGION
161,BP11,Segar,Bukit Panjang LRT,Grey,6/11/1999,LRT,50,BUKIT PANJANG RING ROAD,SEGAR LRT STATION (BP11),50 BUKIT PANJANG RING ROAD SEGAR LRT STATION (BP11) SINGAPORE 679940,679940,20908.91043,41079.83508,1.387785087,103.7695997,BUKIT PANJANG,WEST REGION
162,NS11,Sembawang,North-South Line ,Red,10/02/1996,MRT,11,CANBERRA ROAD,SEMBAWANG MRT STATION (NS11),11 CANBERRA ROAD SEMBAWANG MRT STATION (NS11) SINGAPORE 759775,759775,26522.98826,47854.19984,1.449050822,103.8200461,SEMBAWANG,NORTH REGION
163,NE16,Sengkang,North East Line,Purple,20/06/2003,MRT,5,SENGKANG SQUARE,SENGKANG MRT STATION (NE16),5 SENGKANG SQUARE SENGKANG MRT STATION (NE16) SINGAPORE 545062,545062,34918.27401,41512.12769,1.391694626,103.8954847,SENGKANG,NORTH-EAST REGION
164,STC,Sengkang,Sengkang LRT,Grey,18/01/2003,LRT,5,SENGKANG SQUARE,SENGKANG LRT STATION (STC),5 SENGKANG SQUARE SENGKANG LRT STATION (STC) SINGAPORE 545062,545062,34913.58786,41502.6997,1.391609364,103.8954426,SENGKANG,NORTH-EAST REGION
165,BP13,Senja,Bukit Panjang LRT,Grey,6/11/1999,LRT,90,BUKIT PANJANG RING ROAD,SENJA LRT STATION (BP13),90 BUKIT PANJANG RING ROAD SENJA LRT STATION (BP13) SINGAPORE 679942,679942,20101.4576,40520.39106,1.382725471,103.7623443,BUKIT PANJANG,WEST REGION
166,NE12,Serangoon,North East Line,Purple,20/06/2003,MRT,600,UPPER SERANGOON ROAD,SERANGOON MRT STATION (NE12),600 UPPER SERANGOON ROAD SERANGOON MRT STATION (NE12) SINGAPORE 534801,534801,32480.07294,36869.39301,1.349707881,103.8735748,SERANGOON,NORTH-EAST REGION
167,CC13,Serangoon,Circle Line,Orange,28/05/2009,MRT,21,SERANGOON CENTRAL,SERANGOON MRT STATION (CC13),21 SERANGOON CENTRAL SERANGOON MRT STATION (CC13) SINGAPORE 556082,556082,32390.68525,36971.75455,1.350633615,103.8727717,SERANGOON,NORTH-EAST REGION
168,TE19,Shenton Way,Thomson-East Coast Line,Brown,13/11/2022,MRT,2,PARK STREET,SHENTON WAY MRT STATION (TE19),2 PARK STREET SHENTON WAY MRT STATION (TE19) SINGAPORE 018928,018928,29897.41915,28908.96172,1.277716828,103.8503676,DOWNTOWN CORE,CENTRAL REGION
169,TE28,Siglap,Thomson-East Coast Line,Brown,23/06/2024,MRT,1000,MARINE PARADE ROAD,SIGLAP MRT STATION (TE28),1000 MARINE PARADE ROAD SIGLAP MRT STATION (TE28) SINGAPORE 449969,449969,38762.61178,32479.831,1.310008694,103.9300258,BEDOK,EAST REGION
170,EW3,Simei,East-West Line,Green,16/12/1989,MRT,30,SIMEI STREET 3,SIMEI MRT STATION (EW3),30 SIMEI STREET 3 SIMEI MRT STATION (EW3) SINGAPORE 529888,529888,41361.22817,36149.75278,1.343197079,103.9533772,TAMPINES,EAST REGION
171,DT7,Sixth Avenue,Downtown Line,Blue,27/12/2015,MRT,777,BUKIT TIMAH ROAD,SIXTH AVENUE MRT STATION (DT7),777 BUKIT TIMAH ROAD SIXTH AVENUE MRT STATION (DT7) SINGAPORE 269784,269784,23947.74937,34785.0233,1.330857645,103.7969068,BUKIT TIMAH,CENTRAL REGION
172,NS23,Somerset,North-South Line ,Red,12/12/1987,MRT,1,SOMERSET ROAD,SOMERSET MRT STATION (NS23),1 SOMERSET ROAD SOMERSET MRT STATION (NS23) SINGAPORE 238162,238162,28641.83466,31402.12452,1.300264167,103.8390858,ORCHARD,CENTRAL REGION
173,PW7,Soo Teck,Punggol LRT,Grey,29/06/2014,LRT,21,PUNGGOL WAY,SOO TECK LRT STATION (PW7),21 PUNGGOL WAY SOO TECK LRT STATION (PW7) SINGAPORE 828864,828864,35119.198,43019.12583,1.405323319,103.8972905,PUNGGOL,NORTH-EAST REGION
174,BP2,South View,Bukit Panjang LRT,Grey,6/11/1999,LRT,50,CHOA CHU KANG WAY,SOUTH VIEW LRT STATION (BP2),50 CHOA CHU KANG WAY SOUTH VIEW LRT STATION (BP2) SINGAPORE 688265,688265,18203.72428,40252.06862,1.380298287,103.7452918,CHOA CHU KANG,WEST REGION
175,TE4,Springleaf,Thomson-East Coast Line,Brown,28/08/2021,MRT,825,UPPER THOMSON ROAD,SPRINGLEAF MRT STATION (TE4),825 UPPER THOMSON ROAD SPRINGLEAF MRT STATION (TE4) SINGAPORE 787140,787140,26279.32794,42162.93444,1.397581061,103.8178569,YISHUN,NORTH REGION
176,CC6,Stadium,Circle Line,Orange,17/04/2010,MRT,3,STADIUM WALK,STADIUM MRT STATION (CC6),3 STADIUM WALK STADIUM MRT STATION (CC6) SINGAPORE 397692,397692,32676.34771,31683.94076,1.302812468,103.8753377,KALLANG,CENTRAL REGION
177,DT10,Stevens,Downtown Line,Blue,27/12/2015,MRT,92,STEVENS ROAD,STEVENS MRT STATION (DT10),92 STEVENS ROAD STEVENS MRT STATION (DT10) SINGAPORE 257877,257877,27188.22996,33591.66086,1.320065558,103.8260244,TANGLIN,CENTRAL REGION
178,TE11,Stevens,Thomson-East Coast Line,Brown,13/11/2022,MRT,82,STEVENS ROAD,STEVENS MRT STATION (TE11),82 STEVENS ROAD STEVENS MRT STATION (TE11) SINGAPORE 257879,257879,27137.32152,33510.81053,1.319334374,103.825567,TANGLIN,CENTRAL REGION
179,PW6,Sumang,Punggol LRT,Grey,29/06/2014,LRT,31,PUNGGOL WAY,SUMANG LRT STATION (PW6),31 PUNGGOL WAY SUMANG LRT STATION (PW6) SINGAPORE 828863,828863,35260.29139,43365.13011,1.408452419,103.8985585,PUNGGOL,NORTH-EAST REGION
180,CC11,Tai Seng,Circle Line,Orange,17/04/2010,MRT,33,UPPER PAYA LEBAR ROAD,TAI SENG MRT STATION (CC11),33 UPPER PAYA LEBAR ROAD TAI SENG MRT STATION (CC11) SINGAPORE 534803,534803,34128.79235,35258.74882,1.335141501,103.8883893,HOUGANG,NORTH-EAST REGION
181,EW2,Tampines,East-West Line,Green,16/12/1989,MRT,20,TAMPINES CENTRAL 1,TAMPINES MRT STATION (EW2),20 TAMPINES CENTRAL 1 TAMPINES MRT STATION (EW2) SINGAPORE 529538,529538,40444.9732,37267.02627,1.353301676,103.9451446,TAMPINES,EAST REGION
182,DT32,Tampines,Downtown Line,Blue,21/10/2017,MRT,15,TAMPINES CENTRAL 1,TAMPINES MRT STATION (DT32),15 TAMPINES CENTRAL 1 TAMPINES MRT STATION (DT32) SINGAPORE 529544,529544,40207.39523,37471.43946,1.355150411,103.9430099,TAMPINES,EAST REGION
183,DT33,Tampines East,Downtown Line,Blue,21/10/2017,MRT,20,TAMPINES AVENUE 7,TAMPINES EAST MRT STATION (DT33),20 TAMPINES AVENUE 7 TAMPINES EAST MRT STATION (DT33) SINGAPORE 529623,529623,41501.07485,37586.61776,1.356191483,103.9546345,TAMPINES,EAST REGION
184,DT31,Tampines West,Downtown Line,Blue,21/10/2017,MRT,2,TAMPINES AVENUE 4,TAMPINES WEST MRT STATION (DT31),2 TAMPINES AVENUE 4 TAMPINES WEST MRT STATION (DT31) SINGAPORE 529683,529683,39698.52759,36406.01433,1.345515306,103.938437,TAMPINES,EAST REGION
185,DT8,Tan Kah Kee,Downtown Line,Blue,27/12/2015,MRT,651,BUKIT TIMAH ROAD,TAN KAH KEE MRT STATION (DT8),651 BUKIT TIMAH ROAD TAN KAH KEE MRT STATION (DT8) SINGAPORE 266268,266268,25155.62211,34198.80531,1.325556235,103.8077603,BUKIT TIMAH,CENTRAL REGION
186,EW4,Tanah Merah,East-West Line,Green,4/11/1989,MRT,920,NEW UPPER CHANGI ROAD,TANAH MERAH MRT STATION (EW4),920 NEW UPPER CHANGI ROAD TANAH MERAH MRT STATION (EW4) SINGAPORE 467356,467356,40579.09978,34379.43168,1.327187291,103.9463486,BEDOK,EAST REGION
187,TE25,Tanjong Katong,Thomson-East Coast Line,Brown,23/06/2024,MRT,2,AMBER ROAD,TANJONG KATONG MRT STATION (TE25),2 AMBER ROAD TANJONG KATONG MRT STATION (TE25) SINGAPORE 439846,439846,35128.21199,31297.73085,1.299319258,103.8973687,MARINE PARADE,CENTRAL REGION
188,EW15,Tanjong Pagar,East-West Line,Green,12/12/1987,MRT,120,MAXWELL ROAD,TANJONG PAGAR MRT STATION (EW15),120 MAXWELL ROAD TANJONG PAGAR MRT STATION (EW15) SINGAPORE 069119,069119,29380.75674,28781.18833,1.276561317,103.8457252,DOWNTOWN CORE,CENTRAL REGION
189,TE23,Tanjong Rhu,Thomson-East Coast Line,Brown,23/06/2024,MRT,2,TANJONG RHU PLACE,TANJONG RHU MRT STATION (TE23),2 TANJONG RHU PLACE TANJONG RHU MRT STATION (TE23) SINGAPORE 436488,436488,32466.63453,31070.53549,1.297265079,103.8734533,KALLANG,CENTRAL REGION
190,BP4,Teck Whye,Bukit Panjang LRT,Grey,6/11/1999,LRT,10,CHOA CHU KANG WAY,TECK WHYE LRT STATION (BP4),10 CHOA CHU KANG WAY TECK WHYE LRT STATION (BP4) SINGAPORE 688267,688267,19140.80002,39852.46077,1.376684679,103.7537122,CHOA CHU KANG,WEST REGION
191,DT18,Telok Ayer,Downtown Line,Blue,22/12/2013,MRT,7,CROSS STREET,TELOK AYER MRT STATION (DT18),7 CROSS STREET TELOK AYER MRT STATION (DT18) SINGAPORE 048416,048416,29706.12592,29390.19539,1.282068948,103.8486488,OUTRAM,CENTRAL REGION
192,CC28,Telok Blangah,Circle Line,Orange,8/10/2011,MRT,463,TELOK BLANGAH ROAD,TELOK BLANGAH MRT STATION (CC28),463 TELOK BLANGAH ROAD TELOK BLANGAH MRT STATION (CC28) SINGAPORE 109028,109028,25378.2908,28133.79905,1.270706477,103.8097616,BUKIT MERAH,CENTRAL REGION
193,SW4,Thanggam,Sengkang LRT,Grey,29/01/2005,LRT,40,FERNVALE ROAD,THANGGAM LRT STATION (SW4),40 FERNVALE ROAD THANGGAM LRT STATION (SW4) SINGAPORE 797699,797699,32709.26871,42133.90039,1.397318156,103.8756352,SENGKANG,NORTH-EAST REGION
194,EW17,Tiong Bahru,East-West Line,Green,12/03/1988,MRT,300,TIONG BAHRU ROAD,TIONG BAHRU MRT STATION (EW17),300 TIONG BAHRU ROAD TIONG BAHRU MRT STATION (EW17) SINGAPORE 168731,168731,27346.33227,29836.20442,1.286102536,103.8274451,BUKIT MERAH,CENTRAL REGION
195,NS19,Toa Payoh,North-South Line ,Red,7/11/1987,MRT,510,LORONG 6 TOA PAYOH,TOA PAYOH MRT STATION (NS19),510 LORONG 6 TOA PAYOH TOA PAYOH MRT STATION (NS19) SINGAPORE 319398,319398,29578.48907,34980.89629,1.332629281,103.8475022,TOA PAYOH,CENTRAL REGION
196,SW7,Tongkang,Sengkang LRT,Grey,29/01/2005,LRT,80,SENGKANG EAST AVENUE,TONGKANG LRT STATION (SW7),80 SENGKANG EAST AVENUE TONGKANG LRT STATION (SW7) SINGAPORE 545050,545050,33845.41322,41252.6176,1.389347947,103.8858442,SENGKANG,NORTH-EAST REGION
197,EW31,Tuas Crescent,East-West Line,Green,18/06/2017,MRT,90,PIONEER ROAD,TUAS CRESCENT MRT STATION (EW31),90 PIONEER ROAD TUAS CRESCENT MRT STATION (EW31) SINGAPORE 639608,639608,7495.837867,33698.72631,1.321026956,103.6490782,TUAS,WEST REGION
198,EW33,Tuas Link,East-West Line,Green,18/06/2017,MRT,20,TUAS WEST DRIVE,TUAS LINK MRT STATION (EW33),20 TUAS WEST DRIVE TUAS LINK MRT STATION (EW33) SINGAPORE 638418,638418,6150.862788,35894.35822,1.340882425,103.6369914,TUAS,WEST REGION
199,EW32,Tuas West Road,East-West Line,Green,18/06/2017,MRT,131,PIONEER ROAD,TUAS WEST ROAD MRT STATION (EW32),131 PIONEER ROAD TUAS WEST ROAD MRT STATION (EW32) SINGAPORE 639609,639609,6442.928612,34689.35177,1.329985047,103.6396166,TUAS,WEST REGION
200,DT27,Ubi,Downtown Line,Blue,21/10/2017,MRT,51,UBI AVENUE 2,UBI MRT STATION (DT27),51 UBI AVENUE 2 UBI MRT STATION (DT27) SINGAPORE 408899,408899,35334.89183,34687.41099,1.32997426,103.8992267,GEYLANG,CENTRAL REGION
201,DT34,Upper Changi,Downtown Line,Blue,21/10/2017,MRT,690,UPPER CHANGI ROAD EAST,UPPER CHANGI MRT STATION (DT34),690 UPPER CHANGI ROAD EAST UPPER CHANGI MRT STATION (DT34) SINGAPORE 485990,485990,42262.18797,35988.65688,1.341739774,103.9614728,TAMPINES,EAST REGION
202,TE8,Upper Thomson,Thomson-East Coast Line,Brown,28/08/2021,MRT,1,JALAN KELI,UPPER THOMSON MRT STATION (TE8),1 JALAN KELI UPPER THOMSON MRT STATION (TE8) SINGAPORE 577937,577937,27953.2465,37390.00369,1.354416434,103.8328985,BISHAN,CENTRAL REGION
203,NS9,Woodlands,North-South Line ,Red,10/02/1996,MRT,30,WOODLANDS AVENUE 2,WOODLANDS MRT STATION (NS9),30 WOODLANDS AVENUE 2 WOODLANDS MRT STATION (NS9) SINGAPORE 738343,738343,22741.59819,46501.7861,1.43681963,103.7860668,WOODLANDS,NORTH REGION
204,TE2,Woodlands,Thomson-East Coast Line,Brown,31/01/2020,MRT,11,WOODLANDS SQUARE,WOODLANDS MRT STATION (TE2),11 WOODLANDS SQUARE WOODLANDS MRT STATION (TE2) SINGAPORE 737736,737736,22949.91913,46417.52233,1.436057617,103.7879388,WOODLANDS,NORTH REGION
205,TE1,Woodlands North,Thomson-East Coast Line,Brown,31/01/2020,MRT,20,WOODLANDS NORTH COAST ROAD,WOODLANDS NORTH MRT STATION (TE1),20 WOODLANDS NORTH COAST ROAD WOODLANDS NORTH MRT STATION (TE1) SINGAPORE 737668,737668,22699.99124,47770.39457,1.448292453,103.7856927,WOODLANDS,NORTH REGION
206,TE3,Woodlands South,Thomson-East Coast Line,Brown,31/01/2020,MRT,30,WOODLANDS DRIVE 17,WOODLANDS SOUTH MRT STATION (TE3),30 WOODLANDS DRIVE 17 WOODLANDS SOUTH MRT STATION (TE3) SINGAPORE 737741,737741,23542.55457,45459.75882,1.427396053,103.7932643,WOODLANDS,NORTH REGION
207,NE11,Woodleigh,North East Line,Purple,20/06/2011,MRT,400,UPPER SERANGOON ROAD,WOODLEIGH MRT STATION (NE11),400 UPPER SERANGOON ROAD WOODLEIGH MRT STATION (NE11) SINGAPORE 347695,347695,32173.31857,35706.37936,1.339190045,103.8708183,TOA PAYOH,CENTRAL REGION
208,NS5,Yew Tee,North-South Line ,Red,10/02/1996,MRT,61,CHOA CHU KANG DRIVE,YEW TEE MRT STATION (NS5),61 CHOA CHU KANG DRIVE YEW TEE MRT STATION (NS5) SINGAPORE 689715,689715,18438.98312,42158.0181,1.397535069,103.7443708,CHOA CHU KANG,WEST REGION
209,NS15,Yio Chu Kang,North-South Line ,Red,7/11/1987,MRT,3000,ANG MO KIO AVENUE 8,YIO CHU KANG MRT STATION (NS15),3000 ANG MO KIO AVENUE 8 YIO CHU KANG MRT STATION (NS15) SINGAPORE 569813,569813,29294.12623,40413.06264,1.381755871,103.8449473,ANG MO KIO,NORTH-EAST REGION
210,NS13,Yishun,North-South Line ,Red,20/12/1988,MRT,301,YISHUN AVENUE 2,YISHUN MRT STATION (NS13),301 YISHUN AVENUE 2 YISHUN MRT STATION (NS13) SINGAPORE 769093,769093,28187.67882,45686.07054,1.429443085,103.835005,YISHUN,NORTH REGION
