YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-10,WEEKENDS/HOLIDAY,11,TRAIN,NS7,10207,11033
2023-10,WEEKDAY,11,TRAIN,NS7,20072,13995
2023-10,WEEKENDS/HOLIDAY,16,TRAIN,SW4,1031,1107
2023-10,WEEKDAY,16,TRAIN,SW4,1985,2669
2023-10,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1308,2484
2023-10,WEEKDAY,10,TRAIN,CC5,2603,5292
2023-10,WEEKDAY,13,TRAIN,CC23,15631,19283
2023-10,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2427,2209
2023-10,WEEKENDS/HOLIDAY,22,TRAIN,EW33,914,1987
2023-10,WEEKDAY,22,TRAIN,EW33,1190,2477
2023-10,WEEKDAY,14,TRAIN,CC21,9074,8173
2023-10,WEEKENDS/HOLIDAY,14,TRAIN,CC21,4546,3747
2023-10,WEEKDAY,12,TRAIN,TE16,6046,4474
2023-10,WEEKENDS/HOLIDAY,12,TRAIN,TE16,3754,2918
2023-10,WEEKDAY,18,TRAIN,EW24/NS1,254893,174177
2023-10,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,50145,47309
2023-10,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4048,3194
2023-10,WEEKDAY,7,TRAIN,NE10,31508,35000
2023-10,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2314,2822
2023-10,WEEKDAY,8,TRAIN,EW22,17701,56936
2023-10,WEEKENDS/HOLIDAY,14,TRAIN,CC16,3843,2813
2023-10,WEEKDAY,14,TRAIN,CC16,8477,7100
2023-10,WEEKENDS/HOLIDAY,10,TRAIN,EW11,9204,8873
2023-10,WEEKDAY,10,TRAIN,EW11,20868,19172
2023-10,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,1102,2107
2023-10,WEEKDAY,6,TRAIN,NS24/NE6/CC1,3831,9799
2023-10,WEEKDAY,22,TRAIN,TE15,6849,2879
2023-10,WEEKENDS/HOLIDAY,22,TRAIN,TE15,2957,1017
2023-10,WEEKDAY,0,TRAIN,EW19,53,641
2023-10,WEEKENDS/HOLIDAY,0,TRAIN,EW19,41,298
2023-10,WEEKENDS/HOLIDAY,10,TRAIN,EW21/CC22,10635,9150
2023-10,WEEKDAY,10,TRAIN,EW21/CC22,15117,26258
2023-10,WEEKDAY,8,TRAIN,CC8,28116,11663
2023-10,WEEKENDS/HOLIDAY,8,TRAIN,CC8,3691,2637
2023-10,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,24154,28999
