YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-09,WEEKDAY,15,TRAIN,DT31,5712,6712
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,DT31,4021,3957
2023-09,WEEKDAY,17,TRAIN,PE6,8864,10374
2023-09,WEEKENDS/HOLIDAY,17,TRAIN,PE6,3898,3859
2023-09,WEEKDAY,20,TRAIN,DT8,1930,3014
2023-09,WEEKENDS/HOLIDAY,20,TRAIN,DT8,788,1468
2023-09,WEEKDAY,16,TRAIN,TE4,5135,3006
2023-09,WEEKENDS/HOLIDAY,16,TRAIN,TE4,2615,1738
2023-09,WEEKDAY,19,TRAIN,SW6,2512,9326
2023-09,WEEKENDS/HOLIDAY,19,TRAIN,SW6,1120,2212
2023-09,WEEKDAY,20,TRAIN,NS19,27347,44286
2023-09,WEEKENDS/HOLIDAY,20,TRAIN,NS19,12444,19471
2023-09,WEEKDAY,15,TRAIN,DT28,7920,6654
2023-09,WEEKENDS/HOLIDAY,15,TRAIN,DT28,4688,3936
2023-09,WEEKENDS/HOLIDAY,10,TRAIN,NS5,17614,8260
2023-09,WEEKDAY,10,TRAIN,NS5,26300,12380
2023-09,WEEKENDS/HOLIDAY,20,TRAIN,TE6,2256,6218
2023-09,WEEKDAY,20,TRAIN,TE6,3823,15777
2023-09,WEEKENDS/HOLIDAY,12,TRAIN,DT18,3078,4779
2023-09,WEEKDAY,12,TRAIN,DT18,15534,19207
2023-09,WEEKENDS/HOLIDAY,5,TRAIN,SW3,323,11
2023-09,WEEKDAY,5,TRAIN,SW3,1464,47
2023-09,WEEKDAY,8,TRAIN,PW4,10458,3512
2023-09,WEEKENDS/HOLIDAY,8,TRAIN,PW4,2222,1423
2023-09,WEEKDAY,10,TRAIN,CC14,9066,3418
2023-09,WEEKENDS/HOLIDAY,10,TRAIN,CC14,4312,2322
2023-09,WEEKENDS/HOLIDAY,12,TRAIN,DT10/TE11,4784,2888
2023-09,WEEKDAY,12,TRAIN,DT10/TE11,7509,4536
